date,PTSA,t365,s365,t420,s420,HM,Temp
2017/9/7 14:05:24,0.0000,966,633,1843,3573,0.0,0.0
2017/9/7 14:05:25,0.0000,966,633,1843,3573,0.0,0.0
2017/9/7 14:05:28,0.0000,966,582,1842,3424,0.0,0.0
